LLR-ID,SR-Refs,Title,Module,CodeSymbol,Detail,Rationale,TestRefs,Status,Component,Phase
LLR-001,SR-001,SN->SR->LLR->TC join + orphan set,project-trajectory/scripts/trace.py,main,"Loads the four registries, computes the orphan set (SR without LLR/TC, LLR/TC without a parent, SN without an SR), and exits 1 under --strict.",,(see TC-001),Verified,CMP-001,1
LLR-002,SR-002,Id + CSV-structure + citation integrity,project-trajectory/scripts/trace.py,integrity_findings/structure_findings/triangle_findings,"Duplicate/malformed id detection per ID_PATTERNS, a per-row column-count check, and SR/LLR citation coherence (triangle_findings); the always-valid --strict-integrity floor.","These three are wrong the moment they are written rather than at a gate, and each corrupts the join before the orphan rules could notice — so they run on every commit rather than waiting for a gate that would inherit an already-broken registry.",(see TC-002),Verified,CMP-001,1
LLR-003,SR-003,Placeholder + schema checks,project-trajectory/scripts/trace.py,placeholder_findings/schema_findings/phase_ratified_findings,"-000 example-row scan and required-field + closed-vocabulary validation over the real (non-placeholder) rows, plus the ratified-phase completeness rule: once any spine row is phased, a non-Draft SR/LLR/TC whose Phase does not digit-parse to a number is a --strict-schema finding (vacuous until armed; a downstream vN parses and passes).",,(see TC-003),Verified,CMP-001,1
LLR-004,SR-004,Comparative-term advisory,project-trajectory/scripts/trace_text.py,ac_advisories,"Flags an AcceptanceCriteria comparative term with no predicate marker in the cell; warn-only, never joins the failure set.",,(see TC-004),Verified,CMP-001,1
LLR-005,SR-005,Off-spine integrity + back-links,project-trajectory/scripts/trace.py,integrity_findings/module_findings,Integrity-checks the PB/REPO/PART/ASSET ids plus legacy MOD compatibility and resolves REPO/MOD DelegatedSRs against the SR set; -000 example rows ignored.,,(see TC-005),Verified,CMP-001,1
LLR-006,SR-006,Gate step plan + missing-tool guard,project-trajectory/scripts/check.py,steps/run_step/_work_branch,"Builds the required-step plan per gate/tier and reports SKIP(missing) with a nonzero exit when a required tool is absent. On a claimed work branch (_work_branch: current git branch with a docs/work/active/<branch>/ directory; memoized, fail-closed to full checks off-git or on '..' names) the _TRUNK_FRESHNESS_STEPS set SKIPs with a §5.2 notice, exit code untouched; the plan listing still names every step.",,(see TC-006),Verified,CMP-001,1
LLR-007,SR-007,Stack profile loader,project-trajectory/scripts/check.py,load_profile,Reads format/lint/test/tiers/coverage/arch-map from docs/stack.ini and resolves each step's command from that profile.,,(see TC-007),Verified,CMP-001,1
LLR-008,SR-008,Profile validation,project-trajectory/scripts/check.py,load_profile,"Rejects a malformed profile, non-integer coverage threshold, or missing declared binary with a clear loud failure.",,(see TC-008),Verified,CMP-001,1
LLR-009,SR-009,Conditional profile seeding,project-trajectory/scripts/bootstrap.py,select_skills/matches_scope,Selects the file/skill set per stack+domain scope; omits Python-only artifacts and seeds files-mode arch-map for a non-Python stack.,,(see TC-009),Verified,CMP-005,1
LLR-010,SR-010,Scaffold writer,project-trajectory/scripts/bootstrap.py,MAPPING/main,Writes the mapped kit files into --dest so the generated harness runs green out of the box.,,(see TC-010),Verified,CMP-005,1
LLR-011,SR-011,Idempotent write + kit-version stamp,project-trajectory/scripts/bootstrap.py,write/--force + write_kit_version,Skips an existing file unless --force.,,(see TC-011),Verified,CMP-005,1
LLR-012,SR-012,Link + vision-tag checker,project-trajectory/scripts/check_docs.py,main,"Resolves intra-repo links, requires a PROJECT-VISION tag, and checks generated-doc freshness under --stale.",,(see TC-012),Verified,CMP-003,1
LLR-013,SR-013,Flow-doc contract checker,project-trajectory/scripts/check_flows.py,main,Validates an authored runtime-flow doc against its structural contract; a malformed flow fails.,,(see TC-013),Verified,CMP-003,1
LLR-014,SR-014,Budget comparator,project-trajectory/scripts/check_perf.py,evaluate,Compares measured metrics to declared budgets and fails beyond tolerance at the row's block/warn level.,,(see TC-014),Verified,CMP-003,1
LLR-015,SR-015,PB back-link resolution,project-trajectory/scripts/trace.py,budget_findings,Resolves each PB row's Refs to a real SR/LLR/Module id; an empty or unresolvable Refs is a finding.,,(see TC-015),Verified,CMP-001,1
LLR-016,SR-016,Stub marker detector,project-trajectory/scripts/check_stubs.py,find_stubs/scan_source,Walks the AST for stub bodies (pass-only/NotImplemented/ellipsis public functions) at the declared gate.,,(see TC-016),Verified,CMP-003,1
LLR-017,SR-017,Secrets pattern scan,project-trajectory/scripts/check_privacy.py,Scanner/KEY_RE,"Always-on scan of staged diff/message/outgoing range for PEM/token/key patterns, independent of the privacy toggle.",,(see TC-017),Verified,CMP-004,1
LLR-018,SR-018,Two-axis privacy gating,project-trajectory/scripts/check_privacy.py,EXEMPT_EMAILS/email_ok,"Adds the PII/identity classes when docs/privacy-check is on, exempting configured author identities.",,(see TC-018),Verified,CMP-004,1
LLR-019,SR-019,Pre-commit floor,project-trajectory/hooks/pre-commit,pre-commit,Runs trace --strict-integrity and the check_privacy secrets scan on staged content and blocks a failing commit.,,(see TC-019),Verified,CMP-004,1
LLR-020,SR-020,Pre-push outgoing scan,project-trajectory/hooks/pre-push,pre-push,Scans the outgoing commit range and blocks a push that would publish a secret or a private identity under privacy-check.,,(see TC-020),Verified,CMP-004,1
LLR-021,SR-021,Hook python probe,project-trajectory/hooks/pre-push,python3 probe,Probes candidate interpreters by running one and skip-or-reports clearly when none works or a Store-alias exits nonzero.,,(see TC-021),Verified,CMP-004,1
LLR-022,SR-022,Vendored-doc drift check,project-trajectory/scripts/check_vendored.py,main,Compares a vendored doc copy against its recorded upstream source and reports drift.,,(see TC-022),Verified,CMP-003,1
LLR-023,SR-023,Arch-map splice + drift check,project-trajectory/scripts/gen_arch_map.py,build_map/splice_region,Regenerates the symbol map inside the BEGIN/END marker block and fails --check when the committed map has drifted.,,(see TC-023),Verified,CMP-002,1
LLR-024,SR-024,Permutation expander,project-trajectory/scripts/gen_cases.py,main,Parses the Permutations grammar (range/set/bool with @full|@pairwise|@boundaries) and emits the concrete case set.,,(see TC-024),Verified,CMP-002,1
LLR-025,SR-025,Skills index generator,project-trajectory/scripts/gen_skills_index.py,main,Reads each SKILL.md applicability frontmatter and regenerates skills/INDEX.csv.,,(see TC-025),Verified,CMP-002,1
LLR-026,SR-026,Headless session launch,project-trajectory/scripts/agent_session.py,build_argv/run_session/_codex_lastmsg_setup,"Runs the agent CLI headless: build_argv substitutes {model} into argv and, when a CmdTemplate carries no {prompt} placeholder (the default for both provider CLIs), routes the prompt to the child's STDIN (run_session writes it from a daemon thread then closes), while the no-wedge invariant holds — a fixed prompt plus EOF, never an interactive read. A codex session additionally captures that CLI's own --output-last-message file as the result (_codex_lastmsg_setup/_codex_lastmsg_read). stdin is otherwise closed so no prompt wedges the loop; the scope is the dispatcher and worker sessions, and the former status.md-resume read is retired rather than coexisting with them.","A large prompt passed as argv dies at the OS command-line cap (8191 characters through a Windows .CMD shim, 32767 via CreateProcess) and a round's briefs run to roughly 70k, so stdin is the only delivery that survives — both limits verified live rather than assumed. The last-message capture exists because that CLI echoes its banner and the whole prompt into stdout, so stdout is not the result.",(see TC-026),Verified,CMP-004,1
LLR-027,SR-027,Preflight footing guard,project-trajectory/scripts/agent_common.py,preflight/EXIT_PREFLIGHT,"Refuses a non-git dir, a missing agent CLI, or a private author under privacy-check with a typed nonzero exit rather than hanging.",,(see TC-027),Verified,CMP-004,1
LLR-028,SR-028,Typed outcome + ERROR handling,project-trajectory/scripts/agent_loop.py,classify_outcome/stall_verdict,"Ends each session in a typed code, guards a zero-commit HEAD, and reports an all-ERROR region as an unavailable agent, not a work stall.",,(see TC-028),Verified,CMP-004,1
LLR-029,SR-029,Kernel advisory lock,project-trajectory/scripts/agent_common.py,acquire_lock/_take_os_lock,"Takes an OS advisory lock the kernel releases on process death, so no stale-pid file wedges the next run.",,(see TC-029),Verified,CMP-004,1
LLR-030,SR-030,Lock mutual exclusion,project-trajectory/scripts/agent_common.py,acquire_lock,"Refuses a second coordinator holding the same per-worktree lock, preventing a two-writer race.",,(see TC-030),Verified,CMP-004,1
LLR-031,SR-031,Shared declared-line parse,project-trajectory/scripts/check_privacy.py,_first_declared_line,"The single first-non-comment-line reader the hooks, agent_loop.read_declared, and check_privacy all use so a declared policy value is read one way.",,(see TC-031),Verified,CMP-004,1
LLR-032,SR-032,Onboard/dev-setup templates,project-trajectory/scripts/onboard.template.sh,onboard/dev-setup,The onboarding and dev-setup scaffold scripts that materialize and run to a green developer setup.,,(see TC-032),Verified,CMP-005,1
LLR-033,SR-033,Release checklist generator,project-trajectory/scripts/gen_release_checklist.py,main,"Emits docs/release-checklist.md, including a Performance-budgets section listing each warn-tier PB (id + allocation) read from the budgets registry.",,(see TC-033),Verified,CMP-002,1
LLR-034,SR-067,WI dependency-DAG validation,project-trajectory/scripts/check_trajectory.py,load_wis/validate,"Loads the WI registry - the docs/work/ spec folder, or a legacy work-items.csv via dual-read (folder wins when it holds real specs; both-present is an integrity error) -; validates WI ids, predecessor resolution, and hard-edge acyclicity; respects the absent/placeholder/opt-out vacuity rules.",,(see TC-037),Verified,CMP-001,1
LLR-035,SR-070,Offline project-state core,project-trajectory/scripts/gen_trajectory.py,build_html/spine_stats/arch_icicle/dag_svg,"Renders one self-contained root HTML file with completeness tiles, the spine hierarchy, and the WI roadmap DAG.",,(see TC-038),Verified,CMP-002,1
LLR-036,SR-039,Duplicate-block detector,project-trajectory/scripts/check_dupes.py,find_duplicates/fingerprint/unallowed,"Tokenizes each source file (stdlib tokenize; comments/NL/indent excluded, NEWLINE kept so windows cannot stitch unrelated statements), slides a --min-tokens window (default 30), groups candidate hits by line offset, and merges only step-1-overlapping token-window offsets into one finding per block, POSIX-normalizes the file pair, and fingerprints each block (a hash of its complete token signature, line-number-free). A finding is suppressed only when its fingerprint+pair is recorded in docs/dupes-allow (count-aware: N lines sanction N identical copies) or a legacy bare pair matches; --emit-census prints the lines.",,(see TC-039),Verified,CMP-003,1
LLR-037,SR-040,Per-phase cmd map + size tripwire,project-trajectory/scripts/agent_loop.py,session_template/status_size_warning,"cmd_map parsed by parse_map (same KEY=value syntax; templates may not contain , or ; — the dispatcher wrapper covers those); session_template(phase) falls back to AGENT_CMD; every map entry preflighted (parse + executable); review-policy read via read_declared and printed in the banner; status_size_warning is pure and warn-only (limit<=0 disables).",,(see TC-040),Verified,CMP-004,1
LLR-038,SR-041,Path + sym: reference checker,project-trajectory/scripts/check_doc_refs.py,findings_for/load_symbol_oracle/is_path_shaped,"Scans root *.md + docs/**/*.md; a backticked token is path-shaped when it carries a separator plus a known extension or top-level prefix (URLs/globs/placeholders excluded); GENERATED marker blocks and path-ok lines are skipped; sym:<module>.<name> is resolved against the module map parsed from architecture.md (module tail -> public symbols); warn-first, --strict exits 1.",,(see TC-041),Verified,CMP-003,1
