SR-ID,Title,SN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status,Phase,Area,SupersededBy
SR-001,Trace join reports orphans,SN-002,"trace.py shall join the SN->SR->LLR->TC registries and, with --strict, exit nonzero if any orphan exists.","Realizes SN-002 — a hand-asserted trace is a claim, not evidence: with no mechanical join an SR can lose its last test and nothing reports it, so a gate passes on a spine that no longer holds. Reviewing the matrix by eye at each gate was rejected — it scales with the registry and fails silently as it grows.","--strict exits 0 on a fully linked chain and 1 when any SR lacks an LLR/TC, any LLR/TC lacks a parent, or any SN lacks an SR; the orphan list names each at-fault id.",,M,Test,Verified,1,Traceability,
SR-002,Integrity floor for ids and CSV structure,SN-002,"trace.py shall fail --strict-integrity on a duplicated or malformed registry id, a data row whose column count differs from its header, or a TC that pairs an LLR with an SR it does not decompose.","Realizes SN-002 — a misaligned or duplicated id corrupts the join before the orphan rules can notice, so the report is confidently wrong rather than red, and an incoherent SR/LLR citation contradicts the LLR's own parent link, leaving two answers to one question. Checking only at a gate was rejected: these are wrong the moment they are written, and a gate-only check lets a broken join sit in the tree for days.","--strict-integrity exits 1 on a duplicate/malformed SR/LLR/TC/PB/REPO/MOD/PART/ASSET/CMP/IF id, a mis-columned row, or an incoherent SR/LLR pairing in one TC, and 0 otherwise; orphans do not affect it. MOD is the legacy compatibility id for current REPO rows.",,M,Test,Verified,1,Traceability,
SR-003,Placeholder and schema checks,SN-022;SN-002,"trace.py shall, under --no-placeholders, flag any leftover -000 example row, and under --strict-schema, require non-empty required fields and in-vocabulary Verification/Tier values.",Realizes SN-022 (a committed placeholder at a gate is a finding) and SN-002 (a real row missing a required cell breaks the trace).,--no-placeholders reports every -000 row across SR/LLR/TC and the SN doc; --strict-schema reports an empty required field or an out-of-vocabulary Verification/Tier value.,,M,Test,Verified,1,Traceability,
SR-004,Acceptance-criteria advisory,SN-002,trace.py shall warn (never fail) when an SR AcceptanceCriteria uses a comparative term with no pinning predicate in the cell.,"Realizes SN-002 by keeping acceptance criteria testable, while leaving the call to the G1 review — a heuristic lint must not gate.",A comparative claim with no pinning predicate marker emits a stdout WARNING and a report line; the exit code is unchanged.,,S,Test,Verified,1,Traceability,
SR-005,Off-spine registries stay traceable,SN-002;SN-012,"trace.py shall integrity-check the optional off-spine registries (PB/REPO/PART/ASSET, plus legacy MOD compatibility) and validate their back-links without blocking a project that does not use them.",Realizes SN-002 (off-spine rows stay linked to the spine) and SN-012 (an unused optional registry costs nothing — its -000 row is ignored).,"A PB row whose Refs name no real SR/LLR/Module, or a REPO row (including a legacy MOD row) delegating an unknown SR, is a finding; a -000 example row in any of them is ignored.",,S,Test,Verified,1,Off-spine registries,
SR-006,Gate/tier harness enforces required steps,SN-004;SN-008;SN-014,"check.py shall run the active gate's required steps and fail the gate when a required tool is missing, reporting SKIP(missing) rather than silently passing.","Realizes SN-004 (gates enforce their bar), SN-008 (no false green) and SN-014 (a missing tool fails, never skips). The work-branch lane skip is SR-133's obligation (one row, one obligation).","check.py --gate GN runs that gate's steps; a required-but-absent tool fails the gate with guidance (never a silent pass), and --lenient degrades it to SKIP; --tier selects the declared step subset.",,M,Test,Verified,1,Gate harness,
SR-007,Declared stack profile,SN-003,"check.py shall read the toolchain (format/lint/test commands, tiers, coverage, arch-map mode) from docs/stack.ini so a stack swap edits only that file.","Realizes SN-003 — the kit is stack-agnostic; the harness is re-pointed by declaration, not by editing a kit script.","check.py resolves each step's command from stack.ini; changing the profile changes the commands run, with no script edit.",,M,Test,Verified,1,Declared stack profile,
SR-008,Profile validation fails loudly,SN-003;SN-008,"check.py shall fail loudly on a malformed stack.ini, a non-integer coverage threshold, or a missing declared binary, rather than proceeding on a bad profile.","Realizes SN-003 and SN-008 — a broken declaration is a red, never a silent misconfiguration.","A malformed profile, non-integer coverage, or missing binary produces a clear nonzero failure at the relevant step.",,M,Test,Verified,1,Declared stack profile,
SR-009,Conditional scaffold profiles,SN-003;SN-012,"bootstrap.py shall seed only the artifacts a chosen profile uses, omitting Python-only files for a non-Python stack.",Realizes SN-003 (portability) and SN-012 (right-sizing — a repo gets only what it uses).,A non-Python profile omits Python-only artifacts and seeds files-mode arch-map; a profile that selects no opt-in layers seeds none of them.,,S,Test,Verified,1,Conditional scaffold profiles,
SR-010,Scaffold runs green out of the box,SN-001;SN-007,bootstrap.py shall produce a scaffold whose harness runs green immediately after generation.,Realizes SN-001 (a working process without hand-building tooling) and SN-007 (the suite bootstraps a real scaffold and exercises every script).,bootstrap.py --dest produces a scaffold on which the harness passes; the meta-suite runs every script against that scaffold.,,M,Test,Verified,1,Scaffold generation,
