name,scope,stacks,domains,phases,tags,description
autonomous-gate-operations,kit,python powershell any,any,gate release,autonomy llm-gates process audit flaky-tests decide-and-log,"Use when driving or reviewing an unattended LLM-gated engineering process — enforce ""no un-run greens"" (reviewers execute the harness themselves), guard exit codes from pipe-masking, root-fix named flakes, and keep resumable state plus a written terminal state."
byte-budget-guard,this-repo,any,any,dev gate,byte-budget agents-md process-md docs,"Use before and after editing this repo's byte-capped or byte-watched docs (AGENTS.template.md, CLAUDE.md, this skill, PROCESS.md, PROCESS_OPTIONS.md) to confirm they stay within their limits and to report the delta."
cross-camera-metric-calibration,kit,python,hardware,dev,calibration stereo extrinsics intrinsics opencv pnp webcam,"Use when relating two cameras' views metrically (projecting one camera's 3D into another, borrowed-depth supervision, multi-view rigs) — lock consumer-camera auto modes, checkerboard-calibrate intrinsics, solve the extrinsic from stereo-3D↔2D correspondences, and validate end-to-end with class-agnostic geometry."
design-token-steward,kit,node,web,dev,ui design-tokens theming design-system,"Use when a color, spacing, radius, type, or motion value would be introduced or changed in UI — route it through the single tokens source of truth so it cascades, instead of hard-coding a one-off value in a component."
downstream-resync,kit,python node powershell go rust any,any,dev release,adopting re-sync kit-version upgrade migration,"Use when upgrading a repo that adopted this kit to a newer kit version — open the kit's RESYNC_PACK.md, diff from the recorded kit commit, apply the entries your range contains, overwrite the kit-owned files, preserve your own, and re-stamp."
evidence-hash-integrity,kit,python any,any,dev gate release,reproducibility hashing evidence determinism audit,"Use when any verdict, approval, or benchmark is pinned to a content hash — build the hash from an explicit manifest covering everything that produced the output (including the code), prove clean-state reproducibility, and re-pin with an exact logged mapping when the identity must move."
gate-advance,kit,python node powershell go rust any,any,gate release,stages bars ladder devstg devbar attest verification sign-off,"Use when moving a project honestly up the eight-rung stage ladder and across its three bars (DevStg-Reqs to DevStg-Tests to DevStg-Impl) — what each bar requires, how ratification works as a reviewed Status-change commit (docs/gate is DERIVED from artifact states, regenerated by derive_gate.py, not hand-set), how to record human attestation with Attest, and how the attested-vs-mechanized verification split is reported."
gaussian-splat-scene,kit,node,web game,dev,rendering gaussian-splatting 3dgs gltf neural-rendering,"Use when integrating captured 3D scenes (Gaussian splats / radiance fields / photogrammetry of real spaces) into the app — load, depth-sort, and budget splats, and author toward the glTF KHR_gaussian_splatting path."
ik-solver-select,kit,python,hardware,dev,kinematics inverse-kinematics pinocchio pink moveit jacobian singularity,"Use when the arm must reach a Cartesian pose — choose differential (Jacobian) IK for smooth servoing/teleop vs analytic/global IK for reaching a pose from scratch, and handle singularities and joint limits explicitly."
inference-runtime-select,kit,node python,web data,dev,inference llm webgpu onnx coreml executorch ollama vllm quantization,"Use at the start of any model-inference feature to choose the runtime by deployment target (browser tab, one desktop, GPU server, or iOS/Android) and size the model to the device's memory before writing integration code."
lerobot-imitation-loop,kit,python,hardware,dev,robot-learning lerobot imitation-learning act vla teleoperation,"Use to bring up a new manipulation skill cheaply — teleoperate demos into a LeRobotDataset, train an imitation policy (ACT/diffusion/SmolVLA), evaluate in sim, then deploy, instead of reward-engineering RL from scratch."
llm-vision-convergence-loop,kit,python any,any,dev gate,llm-as-judge vision convergence evaluation rubric noise-floor,"Use when an LLM judge (vision or text) is the acceptance gate for subjective quality (render realism, design polish, doc quality) — run a fresh-context, schema-validated, two-consecutive-approvals-at-one-content-hash loop instead of trusting a single score."
offspine-experiment-discipline,kit,python any,any,dev,experiments determinism reproducibility findings resume process,"Use when running research prototypes beside a requirement-traced process (experiments that inform decisions but must not corrupt traceability) — deterministic pinned-input scripts that print their own honest verdict, findings recorded with numbers (negative ones especially), and a resume surface a successor can pick up cold."
open-vocab-perception,kit,python,hardware,dev,perception foundation-models sam2 grounding-dino open-vocabulary grasping,"Use when the robot must find/segment/grasp an object named in language (""pick up the blue mug"") without a trained detector — run a Grounding DINO → SAM 2 → depth-lift pipeline driven by a text prompt."
registry-hygiene,kit,python node powershell go rust any,any,dev gate,traceability trace registries orphans schema,"Use when the traceability registries (SN/SR/LLR/TC and the off-spine PB/PART/ASSET/REPO/CMP) need checking or fixing — run trace.py/check.py with the right flags for the current gate, read the orphan/integrity/schema findings, and correct them."
render-compare-eval-loop,kit,python,hardware any,dev gate,analysis-by-synthesis render-compare self-supervised evaluation metrics perception,"Use when validating a perception/reconstruction pipeline against reality (render-vs-capture, sim-vs-real, model-vs-measurement) — pin the metric semantics first, climb a staged fidelity ladder with the drop measured per rung, and score on a novel view so texture-from-capture cannot saturate the test."
